month,client_hash_id,content_hash_id,gsc_impressions,gsc_clicks,gsc_avg_position,ga4_pageviews,ga4_engaged_sessions,ctr,position_start,peer_median_ctr,peer_count,ctr_below_position_peers,next_month,next_ctr,next_peer_median_ctr,next_peer_count,future_ctr_improved,target,model_score
2026-02-01,client_f623b01661d4bfe4,content_d821af727371f868,136.0,2.0,30.110294117647058,7.0,0.0,1.4705882352941178,21.0,7.536764705882353,22,True,2026-03-01,2.6455026455026456,0.113420247309243,6982,True,1,0.8388696499190604
2026-02-01,client_e547b89c05043229,content_a001adaea0fca965,9152.0,62.0,5.528409090909091,82.0,1.0,0.6774475524475524,1.0,0.7502206531332745,4149,True,2026-03-01,1.0498687664041995,0.5813953488372093,36634,True,1,0.8384167026195328
2026-02-01,client_f623b01661d4bfe4,content_c1a10050d6a3c045,233.0,5.0,4.060085836909871,7.0,1.0,2.1459227467811157,1.0,33.333333333333336,83,True,2026-03-01,1.7543859649122806,0.5813953488372093,36634,True,1,0.8298842872987017
2026-02-01,client_e547b89c05043229,content_44c57c5ddfb25b24,2149.0,14.0,5.365751512331317,22.0,1.0,0.6514657980456026,1.0,0.7502206531332745,4149,True,2026-03-01,0.41841004184100417,0.5813953488372093,36634,False,0,0.8294187181621717
2026-02-01,client_e547b89c05043229,content_ea3937e83228ebf2,2332.0,15.0,6.962264150943396,24.0,1.0,0.6432246998284734,1.0,0.7502206531332745,4149,True,2026-03-01,0.4334007512279688,0.5813953488372093,36634,False,0,0.8286677582762643
2026-02-01,client_f623b01661d4bfe4,content_a23309f704c98e59,35.0,4.0,5.457142857142857,8.0,0.0,11.428571428571429,1.0,33.333333333333336,83,True,2026-03-01,9.25925925925926,0.5813953488372093,36634,True,1,0.824565551663162
2026-02-01,client_e547b89c05043229,content_06e4f38501a37d60,2207.0,13.0,6.9777979157227,22.0,2.0,0.5890348889895786,1.0,0.7502206531332745,4149,True,2026-03-01,0.687757909215956,0.5813953488372093,36634,True,1,0.8229197239495678
2026-02-01,client_e547b89c05043229,content_607dd00aae31d7c4,139.0,1.0,5.9496402877697845,2.0,0.0,0.7194244604316546,1.0,0.7502206531332745,4149,True,2026-03-01,3.7037037037037037,0.5813953488372093,36634,True,1,0.8224598427692749
2026-02-01,client_e547b89c05043229,content_8fb8ec21db7a238c,136.0,1.0,8.213235294117647,3.0,0.0,0.7352941176470589,1.0,0.7502206531332745,4149,True,2026-03-01,0.0,0.5813953488372093,36634,False,0,0.8182192750780427
2026-02-01,client_e547b89c05043229,content_f313077f8a33236c,10529.0,68.0,5.0924114350840535,72.0,2.0,0.6458353119954412,1.0,0.7502206531332745,4149,True,2026-03-01,0.5141388174807198,0.5813953488372093,36634,False,0,0.8157282013060319
2026-02-01,client_e547b89c05043229,content_e22e8f76c8694e9a,1250.0,9.0,5.7528,16.0,0.0,0.72,1.0,0.7502206531332745,4149,True,2026-03-01,0.7299270072992701,0.5813953488372093,36634,True,1,0.8140292812002999
2026-02-01,client_f623b01661d4bfe4,content_d51c6315f9c34ab0,32.0,2.0,26.8125,3.0,0.0,6.25,21.0,7.536764705882353,22,True,2026-03-01,4.123711340206185,0.113420247309243,6982,True,1,0.8124937024958065
2026-02-01,client_f623b01661d4bfe4,content_204928f1e33d968a,1194.0,10.0,5.7370184254606365,18.0,0.0,0.8375209380234506,1.0,33.333333333333336,83,True,2026-03-01,1.6539440203562341,0.5813953488372093,36634,True,1,0.8124308527927959
2026-02-01,client_f623b01661d4bfe4,content_7d8c5d6c5fae7bd4,24.0,2.0,42.208333333333336,4.0,0.0,8.333333333333334,41.0,10.611735330836455,16,True,2026-03-01,2.73972602739726,0.0,1584,True,1,0.8119535672817454
2026-02-01,client_f623b01661d4bfe4,content_ed1bd5af6c187f6f,1264.0,18.0,24.371835443037973,39.0,1.0,1.4240506329113924,21.0,7.536764705882353,22,True,2026-03-01,1.5384615384615385,0.3424657534246575,11467,True,1,0.8119062244841447
2026-02-01,client_f623b01661d4bfe4,content_16949d8f63c6f458,78.0,2.0,11.102564102564102,9.0,1.0,2.5641025641025643,11.0,7.142857142857143,21,True,2026-03-01,17.105263157894736,0.3424657534246575,11467,True,1,0.8118234401152378
2026-02-01,client_e547b89c05043229,content_639917ff712c8f50,2301.0,13.0,6.399391568883094,32.0,1.0,0.5649717514124294,1.0,0.7502206531332745,4149,True,2026-03-01,0.8687258687258688,0.5813953488372093,36634,True,1,0.8117753264990025
2026-02-01,client_f623b01661d4bfe4,content_d359e26e27260345,19.0,3.0,9.526315789473685,7.0,1.0,15.789473684210526,1.0,33.333333333333336,83,True,2026-03-01,11.11111111111111,0.5813953488372093,36634,True,1,0.8082645224744295
2026-02-01,client_2094c6eb080311d5,content_e486f55b93e8202f,277.0,3.0,4.407942238267148,4.0,0.0,1.0830324909747293,1.0,1.1173184357541899,779,True,2026-03-01,0.423728813559322,0.5813953488372093,36634,False,0,0.8073918036448233
2026-02-01,client_e547b89c05043229,content_ffe5168579081af3,135.0,1.0,8.148148148148149,3.0,0.0,0.7407407407407407,1.0,0.7502206531332745,4149,True,2026-03-01,0.7220216606498195,0.5813953488372093,36634,True,1,0.807170171403939
2026-02-01,client_2094c6eb080311d5,content_3e4f7ab2b3878cfc,141.0,1.0,5.9787234042553195,2.0,1.0,0.7092198581560284,1.0,1.1173184357541899,779,True,2026-03-01,0.45662100456621,0.5813953488372093,36634,False,0,0.8071635962146466
2026-02-01,client_e547b89c05043229,content_a9cf3f89c408b57e,166.0,1.0,4.427710843373494,5.0,0.0,0.6024096385542169,1.0,0.7502206531332745,4149,True,2026-03-01,0.8620689655172413,0.5813953488372093,36634,True,1,0.8020387274071307
2026-02-01,client_e547b89c05043229,content_970d94544eaa1b39,2380.0,17.0,3.6294117647058823,24.0,0.0,0.7142857142857143,1.0,0.7502206531332745,4149,True,2026-03-01,0.49765807962529274,0.5813953488372093,36634,False,0,0.8014767931794459
2026-02-01,client_e547b89c05043229,content_fd442befff58516b,1898.0,14.0,4.764488935721812,20.0,0.0,0.7376185458377239,1.0,0.7502206531332745,4149,True,2026-03-01,0.8231807704972012,0.5813953488372093,36634,True,1,0.8013753100239243
2026-02-01,client_e547b89c05043229,content_124538024d4253ee,143.0,1.0,5.293706293706293,3.0,0.0,0.6993006993006993,1.0,0.7502206531332745,4149,True,2026-03-01,10.0,0.3424657534246575,11467,True,1,0.8008714208106685
2026-02-01,client_ff644d8251367cbb,content_383afbbef2041884,248.0,1.0,8.237903225806452,4.0,0.0,0.4032258064516129,1.0,0.7194244604316546,599,True,2026-03-01,0.8710801393728222,0.3424657534246575,11467,True,1,0.8000909456307345
